test_date,split,model,threshold,auc,accuracy,return_0fee,return_01bps,n_trades,win_rate,sharpe
2026-01-08,train,LightGBM,0.55/0.45,0.7125084247375066,0.6979206419221982,25.601425217439,11.332951622038113,6030,0.5464344941956882,72.98496846513622
2026-01-08,train,LightGBM,0.6/0.4,0.7125084247375066,0.6979206419221982,29.96744437884069,12.406963087287949,7258,0.5369247726646459,88.70357389804867
2026-01-09,train,XGBoost,0.55/0.45,0.7592111581386717,0.779395760999119,3.0755985559997256,1.1690514991106182,934,0.550321199143469,57.54696970394139
2026-01-09,train,XGBoost,0.6/0.4,0.7592111581386717,0.779395760999119,3.5613029714411493,1.3108969397486625,1099,0.5850773430391265,73.22473596935039
2026-01-09,train,LightGBM,0.55/0.45,0.7595520022275536,0.7802378608073793,2.7296053923548946,0.9000603177422795,899,0.5639599555061179,49.88242272301641
2026-01-09,train,LightGBM,0.6/0.4,0.7595520022275536,0.7802378608073793,2.9989529497825407,0.7587461967792919,1100,0.5818181818181818,63.62485239506434
2026-01-12,train,XGBoost,0.55/0.45,0.770265701249513,0.7520874985299306,0.7105137254856064,-0.40218607022999286,556,0.5,34.26499247037249
2026-01-12,train,XGBoost,0.6/0.4,0.770265701249513,0.7520874985299306,1.1347813987970579,-0.13251609526950814,631,0.5499207606973059,57.54113730518999
2026-01-12,train,LightGBM,0.55/0.45,0.7717992603329307,0.7508761613548159,0.9179013304622341,-0.2729095099649026,594,0.51010101010101,44.32428834966406
2026-01-12,train,LightGBM,0.6/0.4,0.7717992603329307,0.7508761613548159,1.0398574895677193,-0.2801150199951752,658,0.5425531914893617,52.887680601877314
2026-01-13,train,XGBoost,0.55/0.45,0.7440630239829107,0.7193647667118059,23.212778853239424,4.45371232821512,8259,0.5172539048310933,53.024425462716046
2026-01-13,train,XGBoost,0.6/0.4,0.7440630239829107,0.7193647667118059,27.76488950652316,6.048155783255127,9315,0.5314009661835749,72.70651780378927
2026-01-13,train,LightGBM,0.55/0.45,0.7430839028352222,0.7184366452745559,20.280639773056276,1.9251472126787572,8280,0.5107487922705314,46.635364455111535
2026-01-13,train,LightGBM,0.6/0.4,0.7430839028352222,0.7184366452745559,26.97906462423516,4.8387710006515094,9580,0.5351774530271399,70.50822132631357
2026-01-14,train,XGBoost,0.55/0.45,0.7170741922180222,0.731825432880901,21.598032391728815,4.854324471987659,7408,0.51579373650108,52.93645213073766
2026-01-14,train,XGBoost,0.6/0.4,0.7170741922180222,0.731825432880901,29.479632196113958,9.695170416680865,8291,0.5245446870100109,79.773818380963
2026-01-14,train,LightGBM,0.55/0.45,0.7181562488294229,0.7323938256776632,23.363675206450907,6.4247391685419375,7385,0.5279620853080569,58.2271552985407
2026-01-14,train,LightGBM,0.6/0.4,0.7181562488294229,0.7323938256776632,29.2314918474756,9.816089729783917,8140,0.5243243243243243,79.72581274501843
2026-01-15,test,XGBoost,0.55/0.45,0.7013054443551935,0.7110898826121381,9.638826643077225,3.9429531253390993,2668,0.5363568215892054,34.87018622493621
2026-01-15,test,XGBoost,0.6/0.4,0.7013054443551935,0.7110898826121381,13.13506803938045,5.557231330247547,3467,0.5379290452841073,48.36110482841987
2026-01-15,test,LightGBM,0.55/0.45,0.7005191577031048,0.7113102000068849,10.32005935374638,4.490533632191895,2715,0.5421731123388582,35.24514802325812
2026-01-15,test,LightGBM,0.6/0.4,0.7005191577031048,0.7113102000068849,13.132382464223703,5.286955484428457,3594,0.5306065664997217,48.76365050839614
2026-01-16,test,XGBoost,0.55/0.45,0.7322832927407379,0.7656336325646759,5.946677609633122,2.756935484768608,1529,0.5382603008502289,28.74797914920888
2026-01-16,test,XGBoost,0.6/0.4,0.7322832927407379,0.7656336325646759,7.150128011681844,2.9261154424359725,2011,0.5082048731974143,36.366794957275964
2026-01-16,test,LightGBM,0.55/0.45,0.7320873541802762,0.765539079909971,4.955843027273565,1.8162837738032733,1519,0.5411454904542462,24.66019333265525
