,AAVE-USD,ADA-USD,AVAX-USD,BCH-USD,BTC-USD,DOGE-USD,ETH-USD,FARTCOIN-USD,HBAR-USD,avg_abs
mean_spread_60s,-0.006307405021546538,0.007093833886462296,0.00897248279293799,0.012687863543966959,0.005955475548079982,-0.01826979731495498,0.011378665933816713,0.004568459925157979,-0.005017179395639378,0.008916795929173646
mean_spread_900s,0.001421154291553707,0.008261645414031486,0.006566440063428788,-0.0005718416920597356,0.006317606443677661,-0.0020692999680230638,0.01340144803344517,0.007386398156088945,0.002843033882452692,0.00542654088275125
micro_minus_mid,0.20690689712919805,0.44066381214237627,0.4766675393271965,0.055864968619219586,0.021148139794080024,0.2407147623733431,0.03371850099164124,0.3178158133023795,0.30698297081087433,0.23338704494336765
mid_accel,0.0009288098371224953,0.0010072641971298416,0.0008094710589945852,-0.0036932941679222826,0.0019813053899327897,0.0007894170886050755,-0.00011554088789513126,-0.0003882894221765505,0.0015829802477914155,0.0012551524775077964
mid_velocity,0.021874884665082417,0.0030271836577899377,-0.02212395805884315,-0.018102651031570664,0.013506041250379562,0.012999658930445496,0.010881673089350992,0.025568085009953636,0.01066605379579796,0.01541668772102376
mlofi,0.04883370151400996,0.05443570964202306,0.0060438434761682725,0.003202627762245308,0.023753051644415397,0.04991466713955037,0.00121807660945458,0.06073345067526584,0.050234042194928136,0.033152130073117875
mlofi_sum_15s,0.09374730575419385,0.09988824985426761,-0.0033742163280998214,0.02166400099531685,0.03626216562766899,0.08920959986456496,0.005025710035695931,0.10616386778600616,0.08611927881463226,0.060161599451160716
mlofi_sum_300s,0.0320865389108016,0.02304455048729707,0.0006325113074413698,0.005797848953094199,0.007322546003008029,0.02098705868506927,-0.002821787415948955,0.03849720422406678,0.015727410665828927,0.016324161850284024
mlofi_sum_5s,0.12255902753571488,0.16707856800393625,0.021609760082902153,0.021175120035595463,0.04564358706676987,0.14723216485025928,0.007793614247267367,0.13040798244400145,0.12470434969163746,0.08757824155089824
mlofi_sum_60s,0.06702615249752499,0.05174411587194169,0.0025201378844300123,0.019083838380217023,0.026545327047373016,0.05928824697273067,-0.0027722944835884456,0.07036571292187162,0.04606207523360943,0.038378655699254104
mlofi_sum_900s,0.01856262360681993,0.020504835310231048,0.000205556743766545,0.0034195566296562874,0.0028842181533212255,0.012784484516039838,-0.008802187550015989,0.0366242148015806,0.00601880380014925,0.012200720123508969
ofi,0.04558331629350676,0.11820994771505257,0.10248957031738425,0.008350277355250839,0.014324729928139672,0.06007694967836782,0.010384371034675105,0.05836643716670184,0.057144505738769946,0.0527700116919832
ofi_sum_15s,0.07519023299857247,0.15920277191126034,0.1237028667036181,0.018237700451938076,0.02284859095370196,0.08934957222378424,0.03751894041586327,0.1052126097154055,0.08436288696045302,0.07951401914828855
ofi_sum_300s,0.02737789844281527,0.02514842794595737,0.03573481507236098,0.003157116622232185,0.00788062618934103,0.019689914139109633,0.006295766410655209,0.03837135752674924,0.013950881421149228,0.019734089307818906
